,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
38-39.sub-CC00126XX11.ses-43100.R67,1.0,105.069,23.9043,4.3954,171.425,0.612913,31.0,31.0,0.0,647.75,0.0,0.5,3.20173,0.25,0.0,0.0,0.25,0.0,0.0,0.125939,0.166957,0.61073,0.181446,1.219,1.43054,1.11322,0.0561173,0.536604,0.279396,0.407734,0.191892,0.0651213,0,Left,1.0,0.5,194.0,71.0,101.0,0.0129523,0.0171708,1.02895,0.00852956,1.44925,1.45947,1.44414,0.0252737,0.136122,0.0512785,0.112654,0.0680127,0.0343554,0,1.0,0.5,203.0,103.0,67.0,0.0247764,0.0328458,1.01541,0.021277,1.50325,1.53503,1.48736,0.0172574,0.315808,0.134634,0.239344,0.128237,0.0532925,0
38-39.sub-CC00143AN12.ses-47501.R67,27.0,83.5738,33.2015,2.51717,42.3495,1.97343,255.625,121.125,134.5,2935.5,38.6262,5.25,5.66553,1.75,33.7407,2043.71,3.5,4.88546,21.4236,0.111312,0.157388,0.737814,0.133138,1.14852,1.30122,1.07216,0.0525039,0.469588,0.237995,0.359244,0.173061,0.0607506,0,Left,7.0,3.5,201.714,139.571,55.2857,0.00742684,0.0105011,0.675393,0.0357226,0.151173,0.159868,0.146825,0.0872668,0.0250626,0.0134109,0.0212263,0.010539,0.00384549,0,14.0,7.0,206.786,96.2143,83.2857,0.0111869,0.0158176,0.673026,0.0181214,0.666195,0.676887,0.660849,0.0339652,0.0703184,0.0300929,0.0572094,0.0320055,0.0144041,0
38-39.sub-CC00145XX14.ses-48100.R69,1.0,89.5803,30.3561,2.95098,140.134,0.639245,28.75,28.75,0.0,560.75,0.0,0.5,3.11702,0.25,0.0,0.0,0.25,0.0,0.0,0.088484,0.103382,0.938596,0.0818703,1.30475,1.40477,1.25475,0.0392232,0.498161,0.24434,0.38145,0.188239,0.068909,0,Left,1.0,0.5,214.0,156.0,92.0,0.0119864,0.0140044,1.09812,0.0131461,0.989803,0.998511,0.985449,0.0474628,0.0598812,0.0253092,0.0506936,0.0288965,0.0130007,0,1.0,0.5,207.0,98.0,75.0,0.00813603,0.00950584,1.13293,0.00485722,1.58724,1.59559,1.58306,0.00892815,0.231639,0.0842237,0.185459,0.111766,0.0558921,0
38-39.sub-CC00334XX13.ses-106100.R68,2.0,123.356,31.132,3.96235,141.385,0.872481,73.75,38.25,35.5,1491.0,12.8427,1.0,4.40973,0.5,0.53033,1.76715,0.5,12.3123,952.492,0.100916,0.140555,0.718741,0.0966469,1.26466,1.3882,1.20289,0.0468721,0.523348,0.256189,0.40018,0.197193,0.071489,0,Left,2.0,1.0,213.5,141.5,65.0,0.0136359,0.0189919,0.842439,0.0147362,0.740907,0.752697,0.735012,0.0908569,0.0457718,0.0222677,0.0383144,0.0199063,0.00761612,0,2.0,1.0,204.5,85.5,90.0,0.00739536,0.0103002,0.429757,0.0137326,0.603375,0.616271,0.596927,0.0558898,0.0352505,0.0313139,0.0593416,0.0334999,0.015744,0
38-39.sub-CC00355XX09.ses-112600.R69,1.0,98.5616,14.4151,6.83739,156.064,0.631546,30.875,30.875,0.0,629.5,0.0,0.5,3.21909,0.25,0.0,0.0,0.25,0.0,0.0,0.0927497,0.131166,0.816462,0.0891237,1.23892,1.35037,1.18319,0.0392923,0.539891,0.265837,0.406925,0.197885,0.0704451,0,Left,1.0,0.5,216.0,124.0,77.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.5,209.0,97.0,84.0,0.0107732,0.0152354,0.265479,0.0100713,0.319816,0.330351,0.314549,0.0146317,0.0445647,0.0212715,0.0377112,0.0203602,0.00879505,0
38-39.sub-CC00445XX17.ses-134800.R69,2.0,84.8028,28.9204,2.93229,95.9752,0.883591,52.0,30.625,21.375,1056.75,15.9328,1.0,4.48911,0.5,15.2833,1467.61,0.5,0.649519,2.65072,0.0898107,0.120571,0.653332,0.104897,1.24378,1.36801,1.18166,0.0430705,0.486419,0.240844,0.368666,0.179052,0.0632779,0,Left,2.0,1.0,210.0,137.5,65.0,0.0131448,0.017647,0.714323,0.0187222,0.922716,0.94138,0.913384,0.0403115,0.0908226,0.040841,0.0704758,0.0369681,0.0147097,0,2.0,1.0,195.5,84.5,70.5,0.0107934,0.0144901,0.978293,0.00560269,1.59711,1.6045,1.59341,0.0118384,0.205141,0.0768919,0.163576,0.0969025,0.0472398,0
38-39.sub-CC00450XX05.ses-136100.R65,4.0,128.723,34.0307,3.78254,111.497,1.1545,134.75,0.0,134.75,2214.0,19.5414,2.0,4.74221,1.0,10.4066,340.226,1.0,9.13476,262.146,0.110024,0.134079,0.472831,0.117187,1.15607,1.29603,1.08608,0.0527979,0.518542,0.262188,0.394871,0.189804,0.0662336,0,Left,4.0,2.0,205.25,117.0,35.75,0.0096326,0.0117386,0.616725,0.0174693,0.281166,0.289932,0.276782,0.0738817,0.036705,0.0188635,0.0293448,0.0144865,0.0053568,0,4.0,2.0,199.25,67.75,81.0,0.00969657,0.0118166,0.437924,0.00911747,0.556668,0.564485,0.55276,0.0407583,0.0272137,0.0140897,0.0228915,0.0120247,0.00546284,0
38-39.sub-CC00587XX19.ses-180300.R61,1.0,70.0245,29.4909,2.37444,110.402,0.634267,22.125,22.125,0.0,454.5,0.0,0.5,3.25733,0.25,0.0,0.0,0.25,0.0,0.0,0.0694082,0.0843199,0.766729,0.0679185,1.27668,1.35736,1.23634,0.0361927,0.506217,0.242946,0.381151,0.188154,0.0681105,0,Left,1.0,0.5,214.0,150.0,78.0,0.0116114,0.014106,0.983276,0.00793149,0.549246,0.553753,0.546993,0.117948,0.0147788,0.00871123,0.0150959,0.00823705,0.0039001,0,1.0,0.5,205.0,92.0,84.0,0.0187678,0.0227999,0.979341,0.0257706,0.826771,0.84976,0.815276,0.0300428,0.18561,0.0889961,0.135333,0.0654232,0.0229378,0
38-39.sub-CC00667XX16.ses-196800.R69,3.0,106.747,30.3167,3.52107,101.559,1.05109,92.625,35.5,57.125,1580.75,22.0506,1.5,4.48452,0.75,20.6346,1783.53,0.75,1.41597,8.39835,0.106653,0.126726,0.810237,0.161966,1.26064,1.44958,1.16617,0.0550083,0.48146,0.245799,0.368265,0.176683,0.0619099,0,Left,3.0,1.5,209.0,140.0,60.6667,0.0142805,0.0169682,0.921555,0.0185609,0.868983,0.884808,0.86107,0.131095,0.068417,0.0345453,0.0526221,0.0256393,0.0140649,0,3.0,1.5,208.333,101.0,97.3333,0.0146268,0.0173797,0.497095,0.0141097,0.695304,0.710874,0.687519,0.0256457,0.0877136,0.0417014,0.0666305,0.0333097,0.0123278,0
39-40.sub-CC00069XX12.ses-26300.R72,13.0,99.3293,39.8705,2.4913,54.2662,1.83041,261.375,54.375,207.0,4061.0,30.7696,4.0,7.1098,1.0,13.6502,585.363,3.0,17.1194,306.908,0.115471,0.130218,0.884605,0.132284,1.27805,1.42666,1.20375,0.0528029,0.51377,0.257183,0.40081,0.196745,0.0702755,0,Left,4.0,2.0,208.25,160.25,84.25,0.0135527,0.0152837,0.836022,0.012694,0.973758,0.986992,0.96714,0.0359708,0.167831,0.069111,0.130362,0.0721508,0.0313446,0,12.0,6.0,195.667,88.6667,84.0833,0.0127566,0.0143859,0.932147,0.0112975,1.2855,1.29821,1.27915,0.0485516,0.170735,0.0661991,0.136385,0.0794885,0.0378195,0
