,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
39-40.sub-CC00114XX07.ses-37100.R72,1.0,70.5638,64.0346,1.10196,108.364,0.651176,23.5,23.5,0.0,468.0,0.0,0.5,3.24202,0.25,0.0,0.0,0.25,0.0,0.0,0.141592,0.176633,0.7588,0.209689,1.23053,1.47936,1.10611,0.0589317,0.536166,0.279762,0.410397,0.193895,0.0662673,0,Left,1.0,0.5,139.0,147.0,158.0,0.0134367,0.016762,1.25453,0.00977496,1.54591,1.55889,1.53942,0.0165154,0.206178,0.0781444,0.16511,0.0972688,0.0467706,0,1.0,0.5,186.0,82.0,59.0,0.00904974,0.0112894,1.06986,0.00716509,1.67017,1.68021,1.66515,0.00985311,0.209025,0.0751205,0.169309,0.103354,0.0529156,0
39-40.sub-CC00202XX04.ses-67800.R72,1.0,96.1019,76.9502,1.24888,150.871,0.636982,30.625,30.625,0.0,623.25,0.0,0.5,3.24081,0.25,0.0,0.0,0.25,0.0,0.0,0.139532,0.167822,0.767081,0.177793,1.24093,1.45572,1.13354,0.0585823,0.532935,0.275072,0.414964,0.199856,0.0702124,0,Left,1.0,0.5,131.0,152.0,165.0,0.0142502,0.0171394,1.12161,0.00769425,1.48272,1.49248,1.47784,0.0153631,0.260097,0.104048,0.203632,0.115044,0.0516857,0,1.0,0.5,184.0,68.0,47.0,0.00938452,0.0112872,1.09437,0.0118202,0.925911,0.937838,0.919948,0.0443088,0.0479224,0.0191186,0.0410398,0.0245334,0.0122552,0
39-40.sub-CC00413XX09.ses-127100.R65,1.0,107.55,75.1886,1.4304,166.193,0.64714,35.375,35.375,0.0,699.25,0.0,0.5,3.19797,0.25,0.0,0.0,0.25,0.0,0.0,0.112259,0.167774,0.667117,0.123651,1.21195,1.36107,1.13738,0.0440227,0.583407,0.296037,0.438305,0.208291,0.0715917,0,Left,1.0,0.5,147.0,170.0,165.0,0.0155868,0.0232947,0.347799,0.0184921,0.464217,0.479324,0.456664,0.0349384,0.0424369,0.024519,0.0348155,0.0162169,0.00564628,0,1.0,0.5,199.0,78.0,58.0,0.010972,0.0163978,0.509845,0.00723415,0.773991,0.786671,0.767651,0.00956945,0.121964,0.0460322,0.0981263,0.0581407,0.0282697,0
40-41.sub-CC00078XX13.ses-29900.R72,3.0,102.566,83.6388,1.2263,114.291,0.897413,64.875,44.375,20.5,1012.25,1.29356,1.0,3.5006,0.5,0.375,0.883573,0.5,0.918559,5.30144,0.10732,0.169043,0.959913,0.152508,1.21807,1.39919,1.12752,0.0465183,0.544156,0.275248,0.407447,0.193633,0.0666137,0,Left,2.0,1.0,128.0,187.0,156.5,0.0142547,0.022453,1.49214,0.0144733,1.26508,1.28352,1.25586,0.0345132,0.101138,0.0394903,0.0841173,0.0496716,0.0238486,0,2.0,1.0,191.0,75.5,49.5,0.00966123,0.0152177,1.33825,0.00825176,1.28119,1.29196,1.27581,0.0194864,0.120519,0.0452956,0.0975384,0.0580525,0.0283724,0
40-41.sub-CC00223XX09.ses-75900.R69,1.0,79.0555,67.728,1.16725,122.462,0.645549,25.875,25.875,0.0,528.5,0.0,0.5,3.29635,0.25,0.0,0.0,0.25,0.0,0.0,0.154695,0.179525,0.68592,0.21022,1.20384,1.43164,1.08993,0.0637633,0.523356,0.276779,0.406317,0.192009,0.0655499,0,Left,1.0,0.5,132.0,149.0,165.0,0.011567,0.0134236,1.28789,0.00865867,1.54961,1.5624,1.54322,0.0124661,0.223097,0.0835343,0.1785,0.106028,0.0519386,0,1.0,0.5,194.0,85.0,63.0,0.011443,0.0132798,1.14278,0.00710376,1.59172,1.60202,1.58657,0.0118427,0.213955,0.0791487,0.172025,0.103482,0.0522064,0
40-41.sub-CC00306XX09.ses-98700.R63,1.0,83.0725,63.9549,1.29892,132.234,0.628225,25.75,25.75,0.0,529.0,0.0,0.5,3.22651,0.25,0.0,0.0,0.25,0.0,0.0,0.12342,0.149403,0.813795,0.183818,1.22704,1.44086,1.12014,0.0500194,0.547777,0.283801,0.412299,0.1938,0.0662566,0,Left,1.0,0.5,137.0,131.0,163.0,0.015133,0.0183189,1.58416,0.0107731,1.53821,1.55352,1.53056,0.0165086,0.223542,0.0860406,0.178283,0.103999,0.0492787,0,1.0,0.5,195.0,78.0,62.0,0.00804864,0.00974307,1.4353,0.00558417,1.4319,1.4398,1.42796,0.0157428,0.109098,0.039235,0.0902115,0.0557605,0.0292887,0
40-41.sub-CC00377XX15.ses-119800.R71,6.0,95.7288,69.5937,1.37554,70.8198,1.35172,137.375,28.625,108.75,2096.5,16.5273,2.5,5.15721,1.5,12.0062,301.902,1.0,4.5212,64.2179,0.0484102,0.13608,0.70663,0.161626,1.20569,1.39686,1.11011,0.0481422,0.245847,0.125063,0.184347,0.0872778,0.0297398,0,Left,6.0,3.0,129.5,170.333,147.5,0.0127081,0.0357222,0.973804,0.03022,1.32372,1.36168,1.30474,0.0187574,0.155036,0.0691496,0.116421,0.0601984,0.0234902,0,4.0,2.0,174.0,83.25,49.5,0.0119973,0.0337242,0.954444,0.0249045,1.60349,1.63838,1.58604,0.0350186,0.0906579,0.0377507,0.0731304,0.0416794,0.0197626,0
40-41.sub-CC00787XX21.ses-19010.R72,1.0,77.0479,61.9385,1.24394,127.783,0.602957,22.0,22.0,0.0,469.5,0.0,0.5,3.21691,0.25,0.0,0.0,0.25,0.0,0.0,0.0850897,0.141436,0.947518,0.130659,1.31599,1.47624,1.23587,0.0470761,0.404803,0.200731,0.312516,0.153736,0.0557231,0,Left,1.0,0.5,153.0,131.0,162.0,0.0113382,0.0188464,1.42727,0.0118851,1.55729,1.57412,1.54887,0.0173515,0.158899,0.0604954,0.1274,0.0747911,0.0355699,0,1.0,0.5,189.0,78.0,56.0,0.0104204,0.0173208,1.44462,0.00807577,1.67727,1.69173,1.67003,0.013837,0.16908,0.0616396,0.137067,0.083139,0.0421765,0
41-42.sub-CC00113XX06.ses-37200.R74,2.0,85.5445,75.7238,1.12969,100.426,0.851817,48.75,26.875,21.875,834.0,8.83977,1.0,3.64315,0.5,0.53033,1.76715,0.5,8.30944,433.834,0.129349,0.138184,0.816272,0.184825,1.21388,1.43338,1.10413,0.0546767,0.5427,0.279471,0.41083,0.194395,0.0666006,0,Left,2.0,1.0,120.5,178.5,154.0,0.00902453,0.00964091,1.12124,0.0125977,0.769379,0.780003,0.764067,0.0474814,0.0503417,0.0219695,0.0405398,0.0220722,0.00923967,0,2.0,1.0,187.5,85.5,54.5,0.0110524,0.0118073,0.964979,0.00577041,1.62362,1.63289,1.61898,0.0161742,0.152877,0.0546236,0.127015,0.0789226,0.0417945,0
41-42.sub-CC00165XX09.ses-54600.R76,13.0,83.3254,65.4653,1.27282,57.8018,1.44157,136.0,64.0,72.0,1419.75,5.08982,4.0,3.76226,2.25,3.64203,18.5205,1.75,1.44779,3.7629,0.15646,0.183003,0.812887,0.223795,1.18917,1.43923,1.06414,0.0600513,0.568934,0.305535,0.434985,0.201147,0.0666032,0,Left,9.0,4.5,134.111,136.0,167.111,0.0117055,0.0136913,1.24045,0.0118606,1.18549,1.19845,1.179,0.0443579,0.128129,0.0512171,0.102539,0.0587075,0.026988,0,7.0,3.5,192.571,86.5714,61.0,0.0105667,0.0123593,1.19791,0.00732535,1.61089,1.62031,1.60618,0.0151172,0.170352,0.0584214,0.142701,0.0903753,0.0488037,0
