,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
38-39.sub-CC00066XX09.ses-19200.R71,232.0,75.3272,48.1392,1.56478,17.1179,4.40048,1145.62,0.0,1145.62,10239.2,22.3143,40.25,9.83255,27.5,13.2046,19.919,12.75,9.10967,20.4477,0.0746552,0.0843041,0.83993,0.0886901,1.20507,1.30807,1.15357,0.0505164,0.410973,0.203373,0.311759,0.151938,0.0545188,0.447678,Left,110.0,55.0,202.118,84.0091,93.4545,0.00870854,0.00983407,0.728679,0.013089,0.386316,0.394119,0.382415,0.067387,0.0343078,0.0192104,0.0278877,0.0132576,0.00484519,0.305591,51.0,25.5,133.059,85.8039,156.824,0.00905441,0.0102246,1.17957,0.00956546,0.57251,0.577213,0.570159,0.196601,0.0140793,0.0078204,0.0138359,0.00749393,0.00353266,0.307442
38-39.sub-CC00075XX10.ses-28400.R68,253.0,62.3355,40.2513,1.54866,11.8347,5.26717,1358.25,235.875,1122.38,10283.0,24.5911,59.25,9.96913,23.75,12.6805,21.2695,35.5,11.9107,12.5543,0.0789346,0.10708,0.691353,0.0679227,1.29768,1.38022,1.2564,0.0508863,0.418208,0.199016,0.32673,0.165648,0.0618515,0.447678,Left,95.0,47.5,199.042,94.9158,114.768,0.0121232,0.0164458,0.816448,0.011792,0.927499,0.93807,0.922213,0.13916,0.0553364,0.0250492,0.0454582,0.0248251,0.0108798,0.305591,142.0,71.0,134.746,109.958,160.38,0.012392,0.0168104,0.97883,0.0114025,1.06756,1.08054,1.06107,0.0599332,0.0873141,0.0362222,0.07052,0.0400935,0.0186734,0.307442
38-39.sub-CC00126XX11.ses-43100.R64,34.0,76.138,48.9855,1.5543,29.0951,2.61687,409.5,59.25,350.25,5259.75,32.2017,11.25,8.40297,6.25,17.0547,146.204,5.0,15.147,144.157,0.0666464,0.0871158,0.979571,0.0602232,1.30853,1.38036,1.27262,0.0395659,0.420247,0.196689,0.325738,0.166424,0.0633877,0.447678,Left,25.0,12.5,195.24,73.28,93.2,0.0113827,0.0148787,0.829801,0.0106509,0.701911,0.711382,0.697176,0.0497789,0.0544634,0.0245447,0.0444163,0.0242235,0.0105894,0.305591,20.0,10.0,124.2,90.75,155.25,0.0117508,0.0153599,1.3024,0.0132443,1.03256,1.04507,1.0263,0.0540003,0.10312,0.0414063,0.0828666,0.0476845,0.022394,0.307442
38-39.sub-CC00126XX11.ses-43100.R67,40.0,73.4972,52.3868,1.40297,26.2435,2.80059,452.75,0.0,452.75,5689.5,23.2235,12.5,8.79842,7.0,12.6507,71.8259,5.5,10.5728,63.8506,0.0626912,0.0831094,1.00349,0.057049,1.34245,1.41225,1.30754,0.0395946,0.39203,0.182099,0.305046,0.15708,0.0607093,0.447678,Left,28.0,14.0,195.214,73.8571,94.9286,0.0101687,0.0134806,1.01228,0.00841048,0.989962,0.998624,0.985631,0.0655412,0.0688285,0.0285137,0.0561884,0.0321993,0.0152262,0.305591,22.0,11.0,124.227,108.182,158.5,0.0114925,0.0152355,1.36296,0.0105701,1.28623,1.29934,1.27967,0.0249742,0.146206,0.0580042,0.115748,0.0661996,0.0304368,0.307442
38-39.sub-CC00143AN12.ses-47501.R67,126.0,57.49,44.7899,1.28355,14.9188,3.85353,670.5,247.875,422.625,5608.75,14.4316,37.0,8.05871,15.75,6.14748,7.53814,21.25,8.28413,10.1458,0.0811564,0.11475,0.81398,0.0645507,1.28473,1.35995,1.24712,0.0481235,0.433917,0.20546,0.339889,0.173181,0.0652126,0.447678,Left,63.0,31.5,197.222,93.0476,119.016,0.0125406,0.0177316,0.868749,0.0182575,0.566932,0.579002,0.560897,0.147228,0.0453046,0.0228873,0.0362015,0.0180628,0.00678831,0.305591,85.0,42.5,126.188,115.824,162.765,0.0112473,0.015903,1.11929,0.0103126,0.975736,0.986578,0.970315,0.0586851,0.0748479,0.0309589,0.0609773,0.0347521,0.0160605,0.307442
38-39.sub-CC00143BN12.ses-47600.R62,36.0,62.2953,47.6796,1.30654,22.8429,2.72711,363.875,0.0,363.875,5039.25,25.4397,13.25,9.44185,6.0,13.3682,93.5711,7.25,12.0716,63.1449,0.0610312,0.0874895,0.925635,0.0372404,1.36453,1.41162,1.341,0.0355553,0.420539,0.189765,0.329189,0.172589,0.067805,0.447678,Left,24.0,12.0,201.792,97.6667,107.708,0.0105674,0.0151486,0.809735,0.0106394,0.841958,0.850817,0.837528,0.0634466,0.0694724,0.0300038,0.0560676,0.0308248,0.0132485,0.305591,29.0,14.5,128.828,106.724,161.138,0.0127657,0.0182999,1.15675,0.0111654,1.09242,1.10424,1.08651,0.0734342,0.077063,0.0311433,0.0640701,0.0373419,0.0178344,0.307442
38-39.sub-CC00145XX14.ses-48100.R69,157.0,65.9262,50.5042,1.30536,15.4033,4.28001,948.5,269.25,679.25,8868.5,18.0002,35.0,10.0046,22.0,9.76601,13.6195,13.0,8.23419,16.3851,0.0819869,0.0957906,0.855393,0.0541868,1.28027,1.34676,1.24702,0.0450488,0.450716,0.2138,0.350527,0.177934,0.0670839,0.447678,Left,88.0,44.0,201.864,87.7955,108.08,0.00931272,0.0108806,0.811456,0.0103159,0.636227,0.642623,0.63303,0.0547853,0.0544025,0.0222896,0.0461459,0.0270001,0.0129581,0.305591,52.0,26.0,119.096,103.019,160.404,0.0107401,0.0125483,1.31143,0.0110428,0.828925,0.838017,0.824379,0.0994142,0.0375492,0.0174805,0.0318598,0.0179216,0.00885121,0.307442
38-39.sub-CC00164XX08.ses-54000.R65,48.0,80.8191,49.0016,1.64932,24.3023,3.32557,702.0,72.5,629.5,8487.75,28.6148,17.25,10.0522,9.5,13.0472,56.294,7.75,15.5676,98.2409,0.0842354,0.109628,0.890072,0.0862154,1.16826,1.27034,1.11721,0.0504362,0.432896,0.211768,0.333927,0.165388,0.0601775,0.447678,Left,38.0,19.0,200.5,78.6053,99.0,0.0101438,0.0132016,0.557615,0.00931746,0.60296,0.610509,0.599186,0.0335797,0.0528283,0.0226085,0.0435608,0.0245748,0.0112493,0.305591,31.0,15.5,130.742,93.5806,158.935,0.0104593,0.0136123,1.24907,0.0102885,0.769838,0.777178,0.766168,0.0818153,0.030478,0.0136732,0.027344,0.0157459,0.00745915,0.307442
38-39.sub-CC00164XX08.ses-54000.R70,24.0,67.5276,45.4739,1.48497,27.0662,2.4949,330.125,0.0,330.125,4741.5,31.6965,8.5,8.95841,4.5,15.0823,158.808,4.0,16.6142,216.795,0.0855499,0.113615,0.85296,0.0768362,1.31986,1.41167,1.27395,0.0463671,0.453776,0.216477,0.355695,0.180719,0.0681151,0.447678,Left,18.0,9.0,198.5,82.1667,99.7222,0.00985549,0.0130887,0.89853,0.00995466,0.895507,0.905073,0.890725,0.0961309,0.0898035,0.0350456,0.0730964,0.0428827,0.0206003,0.305591,16.0,8.0,143.062,107.625,157.75,0.0125043,0.0166065,1.25875,0.0118051,1.14159,1.15467,1.13506,0.0706583,0.112705,0.047263,0.0892899,0.0496568,0.02202,0.307442
38-39.sub-CC00204XX06.ses-69900.R69,156.0,67.47,46.1412,1.46225,15.6443,4.31276,985.625,198.625,787.0,8765.25,26.2435,37.75,9.58844,18.25,12.0075,24.8193,19.5,14.236,32.6507,0.0851252,0.103899,0.759868,0.0843597,1.24903,1.34803,1.19951,0.0497565,0.427332,0.206938,0.332656,0.166538,0.0611782,0.447678,Left,73.0,36.5,200.493,88.7123,104.205,0.0113231,0.0138203,0.803184,0.0106358,0.792914,0.801664,0.788539,0.0917041,0.0603426,0.0261541,0.0496736,0.0277426,0.0124249,0.305591,78.0,39.0,131.013,101.154,158.026,0.0112108,0.0136833,0.963221,0.0105949,0.896348,0.906466,0.891289,0.110301,0.056424,0.0233988,0.047789,0.0277541,0.0131793,0.307442
