,number of tracts,mean length(mm),span(mm),curl,elongation,diameter(mm),volume(mm^3),trunk volume(mm^3),branch volume(mm^3),total surface area(mm^2),total radius of end regions(mm),total area of end regions(mm^2),irregularity,area of end region 1(mm^2),radius of end region 1(mm),irregularity of end region 1,area of end region 2(mm^2),radius of end region 2(mm),irregularity of end region 2,qa,nqa,jdet,dti_fa,md,ad,rd,gfa,iso,rdi,nrdi02L,nrdi04L,nrdi06L,odf,laterality,r1_voxel counts,r1_volume (mm^3),r1_center x,r1_center y,r1_center z,r1_qa,r1_nqa,r1_jdet,r1_dti_fa,r1_md,r1_ad,r1_rd,r1_gfa,r1_iso,r1_rdi,r1_nrdi02L,r1_nrdi04L,r1_nrdi06L,r1_odf,r2_voxel counts,r2_volume (mm^3),r2_center x,r2_center y,r2_center z,r2_qa,r2_nqa,r2_jdet,r2_dti_fa,r2_md,r2_ad,r2_rd,r2_gfa,r2_iso,r2_rdi,r2_nrdi02L,r2_nrdi04L,r2_nrdi06L,r2_odf
38-39.sub-CC00066XX09.ses-19200.R71,57.0,42.0281,13.9221,3.0188,11.77,3.57077,420.875,0.0,420.875,5050.5,26.7452,20.0,10.7123,10.25,11.4531,40.2045,9.75,15.292,75.3488,0.0494855,0.0558813,1.04382,0.0778889,1.12417,1.21001,1.08126,0.0404773,0.34862,0.177107,0.251015,0.116679,0.0404562,0.525503,Left,41.0,20.5,154.171,72.3902,22.9268,0.017131,0.0193451,0.591542,0.0373043,0.521026,0.550096,0.506492,0.0257437,0.0955459,0.0514182,0.0670096,0.0295242,0.0100248,0.343948,39.0,19.5,151.974,51.0,30.5128,0.0157974,0.0178391,0.806229,0.0240456,0.67266,0.694445,0.661768,0.0443504,0.0833989,0.0429577,0.0617714,0.0294692,0.0112877,0.433824
38-39.sub-CC00075XX10.ses-28400.R68,533.0,54.3222,19.4965,2.78625,13.9106,3.9051,650.625,496.875,153.75,3373.0,10.2266,53.25,5.06124,50.5,7.27085,3.28873,2.75,2.95573,9.98039,0.0957843,0.129937,0.76334,0.118693,1.16425,1.31244,1.09016,0.0495634,0.488746,0.248318,0.363039,0.171397,0.0589356,0.525503,Left,202.0,101.0,168.985,71.1832,18.0248,0.0132374,0.0179573,0.670057,0.03363,0.298988,0.315888,0.290538,0.0969145,0.0392478,0.0259247,0.02777,0.0101596,0.00280185,0.343948,11.0,5.5,132.727,74.5455,31.7273,0.0178185,0.0241717,0.452803,0.0537098,0.321353,0.354537,0.304761,0.0503762,0.0269441,0.0229397,0.0193763,0.00504266,0.000689177,0.433824
38-39.sub-CC00126XX11.ses-43100.R64,41.0,50.7994,10.7612,4.72063,17.0062,2.98711,356.0,17.5,338.5,4500.5,19.1616,13.5,9.44064,6.25,7.0189,24.7633,7.25,12.1427,63.891,0.0670376,0.0876271,0.944692,0.0989325,1.07502,1.17836,1.02335,0.0436208,0.430352,0.216633,0.316063,0.149031,0.0511824,0.525503,Left,25.0,12.5,141.12,72.72,27.84,0.0224337,0.0293239,0.443341,0.0506416,0.352318,0.386958,0.334999,0.0336345,0.0654413,0.0401832,0.0464491,0.0181822,0.00519285,0.343948,29.0,14.5,136.793,46.931,30.3448,0.0214475,0.0280348,0.433474,0.043804,0.305182,0.331172,0.292187,0.0294896,0.0691176,0.0417415,0.0489335,0.0193924,0.0052949,0.433824
38-39.sub-CC00126XX11.ses-43100.R67,35.0,32.9357,22.3136,1.47604,11.6044,2.83821,208.375,0.0,208.375,2476.75,16.8687,12.0,8.43376,5.5,7.42889,31.5235,6.5,9.43984,43.0691,0.0471253,0.0624735,1.00969,0.0777324,0.87729,0.945532,0.843167,0.0565073,0.265166,0.137614,0.194061,0.0898604,0.0309399,0.525503,Left,22.0,11.0,138.545,74.2727,32.2727,0.0116206,0.0154054,0.41984,0.0463906,0.409257,0.428517,0.399627,0.0398727,0.0369897,0.0232067,0.0257616,0.00985798,0.00291179,0.343948,26.0,13.0,124.346,30.8077,29.2308,0.0110824,0.0146919,0.74012,0.0221273,0.283224,0.293862,0.277904,0.0729987,0.0337402,0.020329,0.0244554,0.0101166,0.00326947,0.433824
38-39.sub-CC00143AN12.ses-47501.R67,26.0,79.6113,38.0834,2.09045,29.7585,2.67525,447.5,52.375,395.125,6032.5,22.7855,11.75,9.01589,6.25,16.0404,129.33,5.5,6.74516,25.988,0.071274,0.100777,0.964162,0.0800174,1.21225,1.30536,1.16569,0.041922,0.438224,0.215471,0.32777,0.159352,0.0576154,0.525503,Left,25.0,12.5,172.92,75.12,25.88,0.0163665,0.0231411,0.674989,0.0254514,0.480248,0.501154,0.469796,0.0763221,0.0486215,0.0274268,0.0365512,0.0162993,0.00569733,0.343948,22.0,11.0,133.5,17.5455,38.6364,0.0142985,0.0202172,0.725409,0.0213508,0.511931,0.528555,0.503619,0.0770708,0.0560592,0.0297074,0.0425987,0.0201712,0.00748519,0.433824
38-39.sub-CC00143BN12.ses-47600.R62,75.0,70.0141,27.6691,2.5304,19.0215,3.68079,745.0,49.0,696.0,7972.25,26.5393,21.25,9.84703,11.75,10.3755,28.7827,9.5,16.1638,86.3994,0.0723689,0.103743,0.716553,0.0712459,1.28714,1.37859,1.24142,0.0431647,0.43883,0.207277,0.335907,0.169571,0.0638259,0.525503,Left,47.0,23.5,170.191,72.383,25.8298,0.0110201,0.0157975,0.640905,0.0136239,0.687357,0.698574,0.681748,0.0634979,0.0411764,0.0199766,0.0350384,0.018955,0.00847277,0.343948,38.0,19.0,135.421,27.7368,39.6316,0.0115497,0.0165568,0.785967,0.0136766,0.582619,0.592179,0.577839,0.0866924,0.0388124,0.0182412,0.0329175,0.0179109,0.00779081,0.433824
38-39.sub-CC00145XX14.ses-48100.R69,72.0,66.1692,33.3782,1.98241,16.5039,4.00929,835.375,0.0,835.375,9725.0,24.5358,29.5,11.6685,16.0,14.8779,43.4626,13.5,9.65783,21.7058,0.061809,0.0722153,1.0346,0.0575161,1.24598,1.31328,1.21233,0.0333708,0.469278,0.227838,0.347612,0.17024,0.0635579,0.525503,Left,64.0,32.0,157.875,78.3438,12.4531,0.0202773,0.0236913,0.469533,0.0330898,0.37281,0.394634,0.361898,0.0304671,0.0845007,0.0483895,0.0628421,0.027713,0.00960306,0.343948,54.0,27.0,134.13,21.5185,35.3148,0.0121358,0.014179,0.6344,0.0191515,0.375494,0.387138,0.369671,0.0523008,0.0345516,0.0208358,0.0255788,0.0110398,0.00464233,0.433824
38-39.sub-CC00164XX08.ses-54000.R65,130.0,56.911,31.1354,1.82785,12.2412,4.64915,966.125,210.375,755.75,10196.8,24.2223,37.5,12.2671,22.5,11.6192,18.8502,15.0,12.6032,33.2674,0.0794712,0.103429,0.97057,0.0785878,1.10047,1.17951,1.06094,0.0416183,0.479136,0.23924,0.358724,0.172819,0.0618737,0.525503,Left,89.0,44.5,147.809,76.1236,19.191,0.025576,0.0332861,0.44322,0.0381663,0.488302,0.52123,0.471838,0.0328099,0.0692991,0.043626,0.0497857,0.0196638,0.00625302,0.343948,60.0,30.0,137.033,23.35,39.2167,0.0199333,0.0259423,0.534662,0.021314,0.504611,0.525639,0.494096,0.0301737,0.0643053,0.0361456,0.0493624,0.0226095,0.00814135,0.433824
38-39.sub-CC00164XX08.ses-54000.R70,171.0,74.408,36.8545,2.01896,14.777,5.03539,1481.75,153.75,1328.0,14353.2,21.4715,46.5,12.1941,25.25,12.4542,19.2983,21.25,9.01737,12.0213,0.0848059,0.112627,0.963571,0.0884047,1.19335,1.29457,1.14274,0.0435344,0.475971,0.237257,0.358424,0.173624,0.0627515,0.525503,Left,99.0,49.5,153.929,83.1515,10.0909,0.0228072,0.0302894,0.41724,0.0559478,0.304014,0.330529,0.290756,0.03272,0.0749196,0.0463237,0.0519943,0.0200034,0.00569811,0.343948,85.0,42.5,137.482,21.0,39.8353,0.0149406,0.019842,0.861833,0.022591,0.502328,0.519577,0.493704,0.0579423,0.0620436,0.030143,0.0489082,0.0252042,0.0104825,0.433824
38-39.sub-CC00204XX06.ses-69900.R69,263.0,65.0669,25.4595,2.5557,12.8416,5.06689,1312.0,0.0,1312.0,11901.5,34.3317,61.25,11.4908,32.5,15.889,24.404,28.75,18.4427,37.1671,0.0795338,0.097074,0.911098,0.086078,1.21829,1.32048,1.16718,0.0429678,0.484172,0.239532,0.363669,0.176277,0.0630369,0.525503,Left,130.0,65.0,152.777,74.6385,25.4769,0.0180168,0.0219903,0.498247,0.0358984,0.408286,0.436347,0.394255,0.035714,0.0648503,0.0364183,0.047624,0.0210918,0.00796157,0.343948,115.0,57.5,150.357,39.1739,33.3217,0.0126974,0.0154978,0.785481,0.0196971,0.439513,0.453727,0.432405,0.116245,0.0391077,0.0213482,0.0310058,0.0146792,0.0052404,0.433824
38-39.sub-CC00257XX10.ses-84700.R66,83.0,59.6713,29.8559,1.99864,13.8624,4.30453,868.375,0.0,868.375,10244.5,30.6076,28.75,12.6955,14.5,16.1046,56.1931,14.25,14.503,46.3714,0.0669754,0.0809836,0.817275,0.07253,1.15361,1.23898,1.11092,0.0433913,0.432433,0.21068,0.324023,0.158805,0.0582734,0.525503,Left,58.0,29.0,154.672,76.1552,19.1552,0.0150556,0.0182045,0.383925,0.0297451,0.392848,0.410904,0.38382,0.02927,0.0608484,0.0337902,0.0445733,0.0201597,0.008682,0.343948,57.0,28.5,134.263,25.5614,37.7544,0.00906038,0.0109554,0.697538,0.0166278,0.372162,0.380616,0.367935,0.112485,0.0221672,0.0141574,0.0190299,0.00875093,0.00353688,0.433824
38-39.sub-CC00334XX13.ses-106100.R62,290.0,68.4464,24.0329,2.84803,12.456,5.49506,1623.25,157.5,1465.75,14357.2,31.6928,66.0,12.1506,38.75,14.2774,16.5263,27.25,17.4154,34.9664,0.087547,0.120924,0.785999,0.0724804,1.23727,1.32726,1.19228,0.0368835,0.57423,0.283792,0.42599,0.205716,0.0744021,0.525503,Left,155.0,77.5,162.91,75.8581,14.6,0.0260443,0.0359735,0.402446,0.0367537,0.438334,0.464931,0.425036,0.0231549,0.105798,0.060112,0.0750799,0.0323299,0.0114724,0.343948,109.0,54.5,140.174,42.3486,31.0,0.0238369,0.0329246,0.412064,0.0267683,0.452886,0.47563,0.441514,0.0280954,0.0773394,0.0457896,0.0562026,0.0240014,0.00865563,0.433824
